entity,support_context,barrier_context,positive_context,challenge_context
supervisor,10,1,8,2
staff,7,2,11,3
donor,3,0,5,0
leadership,3,1,6,2
manager,2,1,0,1
colleague,1,0,1,0
director,1,0,0,0
board,0,0,1,0
ceo,0,0,0,0
coordinator,0,0,0,0
executive,0,1,0,1
hr,0,1,0,1
team lead,0,0,0,0
