work_mode,entity,n
hybrid,Iran,4
hybrid,Israel,4
hybrid,"Washington, DC",3
hybrid,Gaza,2
hybrid,AI,1
hybrid,DC,1
hybrid,Ghana,1
hybrid,Mexico,1
hybrid,Salesforce,1
hybrid,Washington,1
hybrid,West Africa,1
hybrid,the West Bank,1
remote,Tableau,4
remote,Costa Rica,3
remote,Nigeria,3
remote,the United States,3
remote,U.S.,2
remote,U.S. Virgin Islands,2
remote,Egypt,1
remote,Ghana,1
remote,LinkedIn,1
remote,Salesforce,1
remote,Sierra Leone,1
remote,"Washington, DC",1
