participant_type,word,n,tf,idf,tf_idf
student,strengthened,37,0.00484229812851721,0.6931471805599453,0.0033564252952124037
student,continued,36,0.004711425206124852,0.6931471805599453,0.0032657110980445006
student,gained,33,0.0043188064389477815,0.6931471805599453,0.0029935685065407922
student,encountered,31,0.004057060594163068,0.6931471805599453,0.002812140112204987
student,ensure,29,0.003795314749378354,0.6931471805599453,0.002630711717869181
student,insight,29,0.003795314749378354,0.6931471805599453,0.002630711717869181
student,addressed,25,0.0032718230598089257,0.6931471805599453,0.00226785492919757
student,complete,24,0.0031409501374165686,0.6931471805599453,0.002177140732029667
student,volunteer,23,0.0030100772150242114,0.6931471805599453,0.0020864265348617644
student,aim,22,0.0028792042926318543,0.6931471805599453,0.0019957123376938613
supervisor,helpful,19,0.005906123717749456,0.6931471805599453,0.004093813002996258
supervisor,amazing,10,0.003108486167236556,0.6931471805599453,0.002154638422629609
supervisor,suggestions,10,0.003108486167236556,0.6931471805599453,0.002154638422629609
supervisor,phenomenal,9,0.0027976375505129004,0.6931471805599453,0.0019391745803666485
supervisor,excited,8,0.0024867889337892445,0.6931471805599453,0.0017237107381036872
supervisor,paid,8,0.0024867889337892445,0.6931471805599453,0.0017237107381036872
supervisor,attitude,7,0.002175940317065589,0.6931471805599453,0.0015082468958407264
supervisor,databases,7,0.002175940317065589,0.6931471805599453,0.0015082468958407264
supervisor,figure,7,0.002175940317065589,0.6931471805599453,0.0015082468958407264
supervisor,food,7,0.002175940317065589,0.6931471805599453,0.0015082468958407264
